pair,N_nonzero,median_delta_f1,wilcoxon_p,sig,interpretation
Lasso vs LassoNet,30,-0.3324843254711412,1.9073486328125e-06,***,Lasso < LassoNet
Lasso vs NIMO_MLP,30,-0.2501343244507326,1.9073486328125e-06,***,Lasso < NIMO_MLP
Lasso vs NIMO_T,30,-0.13502078902914616,1.9073486328125e-06,***,Lasso < NIMO_T
Lasso vs NN,30,-0.3122804657774564,1.9073486328125e-06,***,Lasso < NN
Lasso vs RF,30,-0.3243404780042438,1.9073486328125e-06,***,Lasso < RF
LassoNet vs NIMO_MLP,30,0.08314829906877796,1.9073486328125e-06,***,LassoNet > NIMO_MLP
LassoNet vs NIMO_T,30,0.19549870391931806,1.9073486328125e-06,***,LassoNet > NIMO_T
LassoNet vs NN,30,0.015541531074277526,1.9073486328125e-06,***,LassoNet > NN
NIMO_MLP vs RF,30,-0.0751398958425113,1.9073486328125e-06,***,NIMO_MLP < RF
NIMO_T vs NN,30,-0.18046741953602274,1.9073486328125e-06,***,NIMO_T < NN
NIMO_T vs RF,30,-0.19040034010867468,1.9073486328125e-06,***,NIMO_T < RF
NIMO_MLP vs NN,30,-0.06455130399455333,5.7220458984375e-06,***,NIMO_MLP < NN
NN vs RF,30,-0.01060084584727583,5.7220458984375e-06,***,NN < RF
LassoNet vs RF,30,0.005393600036535606,0.000209808349609375,***,LassoNet > RF
NIMO_MLP vs NIMO_T,30,0.11870940860773294,0.0004825592041015625,***,NIMO_MLP > NIMO_T
