pair,N_nonzero,median_delta_f1,wilcoxon_p,sig,interpretation
Lasso vs LassoNet,30,-0.38609634022143957,1.9073486328125e-06,***,Lasso < LassoNet
Lasso vs NIMO_MLP,30,-0.23946040069242208,1.9073486328125e-06,***,Lasso < NIMO_MLP
Lasso vs NIMO_T,30,-0.1404462754214757,1.9073486328125e-06,***,Lasso < NIMO_T
Lasso vs NN,30,-0.35020339216708557,1.9073486328125e-06,***,Lasso < NN
Lasso vs RF,30,-0.34926873733456665,1.9073486328125e-06,***,Lasso < RF
LassoNet vs NIMO_MLP,30,0.13554710590212937,1.9073486328125e-06,***,LassoNet > NIMO_MLP
LassoNet vs NIMO_T,30,0.24886571136069202,1.9073486328125e-06,***,LassoNet > NIMO_T
LassoNet vs NN,30,0.04018523652445438,1.9073486328125e-06,***,LassoNet > NN
LassoNet vs RF,30,0.040930481701006105,1.9073486328125e-06,***,LassoNet > RF
NIMO_MLP vs NN,30,-0.09794694216736016,1.9073486328125e-06,***,NIMO_MLP < NN
NIMO_MLP vs RF,30,-0.09752472979110788,1.9073486328125e-06,***,NIMO_MLP < RF
NIMO_T vs NN,30,-0.2099203558214655,1.9073486328125e-06,***,NIMO_T < NN
NIMO_T vs RF,30,-0.2095013610375695,1.9073486328125e-06,***,NIMO_T < RF
NIMO_MLP vs NIMO_T,30,0.11595805483019417,3.814697265625e-06,***,NIMO_MLP > NIMO_T
NN vs RF,30,0.0014715721000770898,0.7561664581298828,ns,NN > RF
