pair,N_nonzero,median_delta_f1,wilcoxon_p,sig,interpretation
Lasso vs LassoNet,30,-0.18564930313474737,1.9073486328125e-06,***,Lasso < LassoNet
Lasso vs NIMO_T,30,-0.07987208919750133,1.9073486328125e-06,***,Lasso < NIMO_T
Lasso vs NN,30,-0.13947144723112553,1.9073486328125e-06,***,Lasso < NN
Lasso vs RF,30,-0.1834325201129811,1.9073486328125e-06,***,Lasso < RF
LassoNet vs NIMO_MLP,30,0.12958787624131946,1.9073486328125e-06,***,LassoNet > NIMO_MLP
LassoNet vs NIMO_T,30,0.10204667774798981,1.9073486328125e-06,***,LassoNet > NIMO_T
NIMO_MLP vs NN,30,-0.08870660817976062,1.9073486328125e-06,***,NIMO_MLP < NN
NIMO_MLP vs RF,30,-0.1276801439889098,1.9073486328125e-06,***,NIMO_MLP < RF
NIMO_T vs NN,30,-0.06170141434506532,1.9073486328125e-06,***,NIMO_T < NN
NIMO_T vs RF,30,-0.10331738327856099,1.9073486328125e-06,***,NIMO_T < RF
NN vs RF,30,-0.04175370425274427,1.9073486328125e-06,***,NN < RF
NIMO_MLP vs NIMO_T,30,-0.026281805825372484,1.33514404296875e-05,***,NIMO_MLP < NIMO_T
LassoNet vs NN,30,0.042373120324239455,2.6702880859375e-05,***,LassoNet > NN
Lasso vs NIMO_MLP,30,-0.05648655783419754,6.29425048828125e-05,***,Lasso < NIMO_MLP
LassoNet vs RF,30,0.0008962980265835863,0.7561664581298828,ns,LassoNet > RF
