pair,N_nonzero,median_delta_f1,wilcoxon_p,sig,interpretation
Lasso vs LassoNet,30,-0.09820418848351553,1.9073486328125e-06,***,Lasso < LassoNet
Lasso vs NIMO_T,30,-0.1007286033877528,1.9073486328125e-06,***,Lasso < NIMO_T
Lasso vs NN,30,-0.10353638623154143,1.9073486328125e-06,***,Lasso < NN
Lasso vs RF,30,-0.09699999209260018,1.9073486328125e-06,***,Lasso < RF
Lasso vs NIMO_MLP,30,-0.10529156426050112,6.29425048828125e-05,***,Lasso < NIMO_MLP
NN vs RF,30,0.007653720097732242,0.0002613067626953125,***,NN > RF
LassoNet vs NN,30,-0.004797244403141276,0.00485992431640625,**,LassoNet < NN
NIMO_T vs NN,30,-0.0029360225412347063,0.012079238891601562,*,NIMO_T < NN
NIMO_T vs RF,30,0.003869048901325667,0.01923370361328125,*,NIMO_T > RF
LassoNet vs NIMO_T,30,-0.001818503202606403,0.2942523956298828,ns,LassoNet < NIMO_T
LassoNet vs RF,30,0.004140990091706431,0.2942523956298828,ns,LassoNet > RF
NIMO_MLP vs NIMO_T,30,0.0026589954486940792,0.5958194732666016,ns,NIMO_MLP > NIMO_T
NIMO_MLP vs NN,30,-0.000720737875847588,0.5958194732666016,ns,NIMO_MLP < NN
NIMO_MLP vs RF,30,0.006419054916261824,0.5958194732666016,ns,NIMO_MLP > RF
LassoNet vs NIMO_MLP,30,-0.003270611206556251,0.7841262817382812,ns,LassoNet < NIMO_MLP
