pair,N_nonzero,median_delta_f1,wilcoxon_p,sig,interpretation
Lasso vs LassoNet,30,-0.022775275727246136,1.9073486328125e-06,***,Lasso < LassoNet
Lasso vs NN,30,0.011441949817376562,1.9073486328125e-06,***,Lasso > NN
Lasso vs RF,30,-0.04730100235526308,1.9073486328125e-06,***,Lasso < RF
LassoNet vs NIMO_T,30,0.020618127029719713,1.9073486328125e-06,***,LassoNet > NIMO_T
LassoNet vs NN,30,0.03753060485857207,1.9073486328125e-06,***,LassoNet > NN
LassoNet vs RF,30,-0.025299919926615566,1.9073486328125e-06,***,LassoNet < RF
NIMO_T vs NN,30,0.015012036001016915,1.9073486328125e-06,***,NIMO_T > NN
NIMO_T vs RF,30,-0.04427739579243495,1.9073486328125e-06,***,NIMO_T < RF
NN vs RF,30,-0.06077200820462575,1.9073486328125e-06,***,NN < RF
NIMO_MLP vs NIMO_T,30,0.052236383609494674,0.0002613067626953125,***,NIMO_MLP > NIMO_T
NIMO_MLP vs NN,30,0.0659519859132221,0.0002613067626953125,***,NIMO_MLP > NN
Lasso vs NIMO_MLP,30,-0.054094937572674195,0.0003223419189453125,***,Lasso < NIMO_MLP
Lasso vs NIMO_T,30,-0.0031768485368643407,0.069580078125,ns,Lasso < NIMO_T
LassoNet vs NIMO_MLP,30,-0.025181635030057714,0.5958194732666016,ns,LassoNet < NIMO_MLP
NIMO_MLP vs RF,30,0.006965380723247483,0.7285060882568359,ns,NIMO_MLP > RF
