Method1,Method2,Median_Delta_F1,P_Value,Significance,N_Comparisons
Lasso,LassoNet,-0.0019,0.595819,ns,20
Lasso,NIMO_MLP,0.0651,0.176853,ns,20
Lasso,NIMO_T,0.0454,0.395462,ns,19
Lasso,NN,0.0543,0.097307,ns,20
Lasso,RF,0.0175,0.430433,ns,20
LassoNet,NIMO_MLP,0.0157,0.840822,ns,20
LassoNet,NIMO_T,-0.0287,0.956329,ns,20
LassoNet,NN,0.0054,0.541218,ns,19
LassoNet,RF,-0.0164,0.984322,ns,19
NIMO_MLP,NIMO_T,-0.0041,0.898317,ns,20
NIMO_MLP,NN,0.0167,0.164957,ns,20
NIMO_MLP,RF,-0.0024,0.985435,ns,20
NIMO_T,NN,0.0501,0.245487,ns,20
NIMO_T,RF,0.0093,0.927279,ns,20
NN,RF,-0.0634,0.352459,ns,19
