Method1,Method2,Median_Delta_F1,P_Value,Significance,N_Comparisons
Lasso,LassoNet,0.0180,0.001943,**,20
Lasso,NIMO_MLP,0.0162,0.015972,*,19
Lasso,NIMO_T,0.0202,0.132727,ns,20
Lasso,NN,-0.0042,0.898317,ns,20
Lasso,RF,0.0466,0.000048,***,20
LassoNet,NIMO_MLP,-0.0254,0.277355,ns,20
LassoNet,NIMO_T,-0.0326,0.058258,ns,20
LassoNet,NN,-0.0446,0.009453,**,19
LassoNet,RF,0.0238,0.202450,ns,20
NIMO_MLP,NIMO_T,-0.0014,0.521673,ns,20
NIMO_MLP,NN,-0.0214,0.043167,*,18
NIMO_MLP,RF,0.0327,0.023951,*,20
NIMO_T,NN,-0.0074,0.123093,ns,20
NIMO_T,RF,0.0426,0.003918,**,19
NN,RF,0.0533,0.001432,**,20
