Method1,Method2,Median_Delta_F1,P_Value,Significance,N_Comparisons
Lasso,LassoNet,0.0376,0.004860,**,20
Lasso,NIMO_MLP,0.0061,0.277355,ns,20
Lasso,NIMO_T,0.0047,0.329983,ns,20
Lasso,NN,0.0362,0.001690,**,20
Lasso,RF,0.0605,0.000063,***,20
LassoNet,NIMO_MLP,-0.0180,0.001209,**,20
LassoNet,NIMO_T,-0.0363,0.000048,***,20
LassoNet,NN,-0.0067,0.521673,ns,20
LassoNet,RF,0.0243,0.032768,*,20
NIMO_MLP,NIMO_T,-0.0033,0.153646,ns,20
NIMO_MLP,NN,0.0176,0.000002,***,20
NIMO_MLP,RF,0.0509,0.000004,***,20
NIMO_T,NN,0.0310,0.000002,***,20
NIMO_T,RF,0.0613,0.000002,***,20
NN,RF,0.0353,0.008308,**,20
