Method1,Method2,Median_Delta_F1,P_Value,Significance,N_Comparisons
Lasso,LassoNet,-0.0817,0.000019,***,20
Lasso,NIMO_MLP,0.0162,0.000063,***,20
Lasso,NIMO_T,0.0128,0.002712,**,20
Lasso,NN,-0.0300,0.001986,**,20
Lasso,RF,-0.0732,0.000002,***,20
LassoNet,NIMO_MLP,0.0972,0.000002,***,20
LassoNet,NIMO_T,0.0997,0.000002,***,20
LassoNet,NN,0.0484,0.000134,***,20
LassoNet,RF,-0.0011,0.373596,ns,19
NIMO_MLP,NIMO_T,-0.0021,0.487381,ns,17
NIMO_MLP,NN,-0.0474,0.000019,***,20
NIMO_MLP,RF,-0.0914,0.000002,***,20
NIMO_T,NN,-0.0452,0.000261,***,20
NIMO_T,RF,-0.0942,0.000002,***,20
NN,RF,-0.0526,0.000004,***,20
